Date,Close,High,Low,Open,Volume
2024-04-29,274.8537902832031,275.69603312759943,271.01687448171117,273.5436030149001,9804396
2024-04-30,282.4808349609375,284.8204144644084,274.24549797312795,274.85381149148645,33288857
2024-05-02,293.4768371582031,296.89261727152814,282.4808142962947,282.57440318145115,44059506
2024-05-03,290.9032897949219,295.8164062222536,288.4701216619037,291.9794905385692,27074447
2024-05-06,287.1599426269531,290.8564604459498,283.6505739991819,290.2949843129584,16855909
2024-05-07,276.3042907714844,288.5168822082761,275.6024170438684,287.30031250413447,13857464
2024-05-08,282.6211853027344,283.4166479930991,273.2628679086041,273.2628679086041,18754452
2024-05-09,277.14654541015625,284.82037658468664,276.30430261278497,283.3230401897397,11196567
2024-05-10,284.2588806152344,284.91397423297167,277.2401428222656,277.2401428222656,11786977
2024-05-13,286.87921142578125,287.9086320622395,278.5035344021713,284.68002966160225,11710605
2024-05-14,289.40594482421875,292.91531359734995,288.0021973149663,288.236155233175,9957875
2024-05-15,294.6466064453125,296.00354522861596,289.03161643609957,290.1078171426688,11397656
2024-05-16,292.4474182128906,295.34850231342614,285.70941827353835,294.3190816894531,19843532
2024-05-17,293.0556945800781,295.72282066822146,290.80970418560065,294.693400074285,9069551
2024-05-21,304.7535705566406,306.4380846591677,291.0436426209263,291.0436426209263,21976662
2024-05-22,304.84716796875,306.7188313177523,299.6533135989951,306.7188313177523,10287081
2024-05-23,299.3725891113281,300.12127169192985,289.17202813493714,298.9514819341024,35705284
2024-05-24,298.3431396484375,302.22686411743945,297.03298095785107,297.59448569933596,15058182
2024-05-27,297.5476989746094,300.86989006953536,294.3190682017694,300.86989006953536,12857918
2024-05-28,292.7281188964844,298.99820216530424,291.9794650252736,298.5302863559688,10935739
2024-05-29,297.3137512207031,298.24958294810943,289.2655926531455,289.2655926531455,16812268
2024-05-30,287.01959228515625,297.26693220999215,284.30565752215614,294.41265696391986,22768893
2024-05-31,290.10784912109375,291.5115967781313,286.08378392798045,288.7508816288964,36929443
2024-06-03,315.9835510253906,326.3245078972354,304.7067910625215,313.50360286385313,55218939
2024-06-04,276.95941162109375,313.4568490520696,261.7989261875766,313.4568490520696,73262478
2024-06-05,279.6264953613281,281.73211664736016,261.28421722823555,277.2869161546258,45312613
2024-06-06,281.1706237792969,291.4647716771544,278.9714137438007,283.93130994358796,36508044
