Date,Close,High,Low,Open,Volume
2010-01-04,222.17849731445312,223.65820488991432,220.7072813960477,221.95738203904045,4069264
2010-01-05,222.9226531982422,223.7177755874956,221.1155285472091,222.80783932737577,6895528
2010-01-06,219.66981506347656,228.16541811526017,218.98948582571208,228.16541811526017,6817288
2010-01-07,214.73309326171875,219.96737857079887,214.1505532603615,219.96737857079887,10892600
2010-01-08,209.55844116210938,214.58438247481917,209.03119007510182,214.21870130153846,12649312
2010-01-11,211.7227020263672,213.00257555417514,210.39181626305233,210.48536983781594,7849656
2010-01-12,219.99722290039062,220.5967672258605,212.60289825160032,212.60289825160032,24859680
2010-01-13,228.20791625976562,229.18588944291724,210.63417166906274,210.63417166906274,19704040
2010-01-14,228.73944091796875,229.85772377334015,225.37605916976773,227.82524852467265,8413904
2010-01-15,227.5531768798828,228.9733603291519,225.71202301093362,228.73949710133195,5049504
2010-01-18,228.47584533691406,228.76074155405988,225.86934184668513,226.4646300217329,6140088
2010-01-19,224.16001892089844,228.59067232546107,223.4967143831295,227.91034294354006,5837512
2010-01-20,226.01390075683594,227.33203881835274,224.3385939536314,225.24427405884,6091992
2010-01-21,223.25009155273438,226.60921801180524,221.10705806542452,224.76382864112193,6682792
2010-01-22,219.03199768066406,221.9574049817539,217.0250182043816,221.10699346841386,13486496
2010-01-25,216.20016479492188,218.5515447770124,214.13366026742244,216.8549776338075,6498712
2010-01-27,212.79428100585938,215.48159045154893,211.34006860266558,215.32425597235925,9840856
2010-01-28,211.90130615234375,217.27164699313178,210.85955196337366,213.70843076586328,12732872
2010-01-29,210.51939392089844,212.60290236406627,204.50698799444308,208.55493479825358,15012280
2010-02-01,208.45713806152344,215.15412923841072,203.2568795667474,208.09571314086602,12308784
2010-02-02,207.4961700439453,212.68793691061717,205.93991269463802,212.68793691061717,9889384
2010-02-03,210.32379150390625,212.60289873069974,208.35084075608572,208.35084075608572,6405608
2010-02-04,206.56924438476562,210.05167591195803,205.16180896259058,209.6264700902739,6176408
2010-02-05,200.07630920410156,203.96694181176932,198.06083810400472,203.28235640271967,13544872
2010-02-08,204.40496826171875,207.67054094474574,199.37902671783635,201.96427002839903,9252480
2010-02-09,210.3748321533203,211.07216553411067,203.60980351734264,204.4389548525391,10387392
2010-02-10,209.79232788085938,212.27978231324465,208.18080172578362,211.83757234433293,7187984
2010-02-11,212.4709930419922,214.14629903977846,210.05157720592584,210.30670057905044,6453888
2010-02-15,212.48814392089844,216.20869568279966,210.46418037203028,213.19824610483005,8950128
2010-02-16,216.1278533935547,216.9400006294562,211.60366780331023,212.6029014400786,4418096
2010-02-17,214.1889190673828,218.24963464200482,213.75947779945963,216.87197193976925,7991184
2010-02-18,215.4645233154297,216.59983108824292,213.62339053540094,214.55884328057985,3721696
2010-02-19,215.35821533203125,216.3872216253033,213.0408438290682,214.72040666149096,5998992
2010-02-22,218.4154510498047,220.40114949185747,217.28865578577475,217.28865578577475,5855400
2010-02-23,219.5167694091797,220.17158224530303,217.2801825557162,217.54381847927414,3786032
2010-02-24,219.091552734375,220.96245832332173,216.94000715468573,218.38570692796273,5427016
2010-02-25,222.58251953125,223.63276554679496,218.60684474574694,218.60684474574694,8729568
2010-02-26,221.2728271484375,223.65823567755066,219.58477269377497,222.72278298080045,10546368
2010-03-02,224.59373474121094,225.4228861663252,223.03322093375803,223.79009982003961,8534656
2010-03-03,226.74099731445312,227.61266922161607,223.88360597739128,225.45263201988644,5904976
2010-03-04,223.13101196289062,226.5496626294479,221.4471927504063,226.3795803001465,6755240
2010-03-05,224.1430206298828,224.5087018345144,222.21684632235483,223.98994236259452,4984808
2010-03-08,226.17124938964844,227.85506871969122,224.3471204329373,225.6142255698963,8664992
2010-03-09,228.24624633789062,229.73872303862686,222.62503740221786,225.36335895103616,7958752
2010-03-10,226.14569091796875,228.88401195032318,225.35906023601285,227.47657668588303,7330952
2010-03-11,228.16116333007812,229.18591340326097,225.35906141693565,226.63467874571074,4298424
2010-03-12,227.33631896972656,229.95133507683178,225.8948752191867,229.60265795774893,3176920
2010-03-15,229.71742248535156,230.67413548968668,224.16848706020795,225.7332360247201,10582856
2010-03-16,232.36221313476562,233.4337192534639,228.10589908365557,229.61112340692293,5881344
2010-03-17,232.86817932128906,234.17780469344265,230.7166341281805,232.58753938097075,6352000
2010-03-18,237.0607452392578,237.596487936116,233.01277773009483,233.01277773009483,8923048
2010-03-19,235.76390075683594,237.69007499177053,234.71789019212773,236.42296983776123,12582544
2010-03-22,234.4924774169922,236.1592923947988,233.25938064359477,234.04177589562718,4108528
2010-03-23,236.03175354003906,238.03022091823792,235.06652801215026,235.56828334302762,4792560
2010-03-25,239.30160522460938,244.0681671358837,233.93551965175178,235.649090987294,15207528
2010-03-26,235.9765167236328,240.2413234168319,234.9687704781262,239.47595282895526,9105680
2010-03-29,231.02703857421875,235.56399236371342,229.63237197838166,234.54349853397895,13981704
2010-03-30,224.8573455810547,230.8867556843647,223.70928988980646,230.8867556843647,10649936
2010-03-31,222.4634552001953,227.6297065259738,221.66833267968613,225.69076360439166,13070104
2010-04-01,227.0982208251953,227.7402859031265,222.80789733614318,222.82490142017957,8187000
2010-04-05,227.73597717285156,228.7607273343147,224.33858688026848,227.8252745459588,7318616
2010-04-06,225.46539306640625,228.3355324406604,224.95514606653887,228.08040894072667,5348808
2010-04-07,224.8275909423828,227.46812339691544,222.586747830458,225.83108089076288,8380880
2010-04-08,226.52842712402344,227.73175143069196,223.65828750302455,224.50869924257978,7227984
2010-04-09,227.58714294433594,229.41552784179495,226.63468612689712,227.05989191700385,8260312
2010-04-12,228.1739501953125,229.44105520502404,225.53341796132713,228.41204883944442,8325648
2010-04-13,236.57608032226562,237.5923391616778,224.08353770168873,228.76080319451336,57635400
2010-04-15,238.2513427734375,240.21578128219238,234.65409724181657,237.09477459257465,22395128
2010-04-16,237.14584350585938,238.88067527783403,235.653366640348,237.443487636679,6244344
2010-04-19,234.02479553222656,235.95948221680536,232.67264918714713,235.95948221680536,8754896
2010-04-20,231.93272399902344,237.26054354535543,231.3119194745046,235.1812916568906,9542128
2010-04-21,230.66995239257812,233.84199266698292,229.63671032520045,233.26796468243808,6496288
2010-04-22,231.17588806152344,234.95598434795127,229.01585083670977,230.2914682754586,6978144
2010-04-23,231.9029998779297,234.17785103318056,231.04409657184058,232.58758540602264,5888336
2010-04-26,232.92349243164062,234.20336610469323,231.74142855457717,232.17089058600052,4454288
2010-04-27,232.7959442138672,233.2168938485357,231.85623514285695,232.08586290904358,3280256
2010-04-28,229.56863403320312,232.32821579462987,228.8542965236395,230.47007872279895,5544496
2010-04-29,230.3892059326172,232.40893309358597,227.48505918280225,229.526046629676,11319960
2010-04-30,232.8554229736328,234.61153522664375,227.6636772329057,230.63160514475462,8067024
2010-05-03,229.1774139404297,230.88249335202963,228.08039128045868,230.2914614420142,5408952
2010-05-04,226.7324981689453,230.12139696489646,225.82681804888492,230.03635579824277,6576208
2010-05-05,229.015869140625,230.2914866813266,221.95745208207623,225.3080658508507,12122080
2010-05-06,226.05213928222656,228.78622488989748,224.98063317967816,228.78622488989748,7808360
2010-05-07,222.5399932861328,224.9636666231479,221.70658567047764,224.34711814267914,8984392
2010-05-10,227.544677734375,228.23351958676625,222.80788823237057,222.80788823237057,5635408
2010-05-11,226.27328491210938,227.44260095741296,224.16851603056293,227.0429116252372,5802824
2010-05-12,228.05484008789062,229.51754366600994,225.55038245751211,225.8692867592241,9185176
2010-05-13,230.1341552734375,231.567107301349,226.31581502229713,228.2505016514215,4923880
2010-05-14,225.52064514160156,231.90724459758638,223.65825203214234,230.46154486962197,6824496
2010-05-17,222.49742126464844,225.19322156915499,219.07025876482487,224.08343040847026,8170824
2010-05-18,223.59022521972656,226.20949723484642,219.58054262429354,226.20949723484642,7144600
2010-05-19,221.34938049316406,225.55891770173315,220.54998117211403,223.31807494348237,11939240
2010-05-20,221.17080688476562,224.04520237532063,219.95897029989283,222.12751997808624,6508872
2010-05-21,219.55503845214844,221.78736914232715,217.56508339884795,218.38572237634054,7127200
2010-05-24,221.1410369873047,223.65826377412654,219.3424246537703,222.0424816403971,7186104
2010-05-25,215.44326782226562,219.9887344630474,213.46182539114704,219.9887344630474,8838128
2010-05-26,224.2247772216797,225.8373386480027,218.68128272834232,219.43410657804657,7868856
2010-05-27,226.13247680664062,227.89902811096758,222.0048010910422,224.8022061553614,11312696
2010-05-28,229.0496826171875,229.6442349483809,225.61495085500385,228.41663799855988,6793992
2010-05-31,227.3857879638672,233.97296090337727,224.5242215588372,233.97296090337727,7020752
2010-06-01,224.50706481933594,227.34296208810719,223.92961797301618,227.12909288576654,5782888
2010-06-02,225.86721801757812,226.8681215010107,224.48563160960978,225.4180927852735,6557144
2010-06-03,230.80767822265625,231.47495441244234,227.55686585332307,227.55686585332307,5517096
2010-06-04,233.45533752441406,234.22954820675915,229.47737039818531,230.8076410014011,4950400
2010-06-07,228.553466796875,231.83422890707715,226.70136775046288,231.83422890707715,7781952
2010-06-08,227.08627319335938,230.0376675897319,226.51738958426463,228.55340727091533,6651144
2010-06-09,224.55833435058594,228.24116542865636,223.83546077364292,228.24116542865636,5427120
2010-06-10,226.3206787109375,227.04355246081803,224.1819866191815,224.5797749939821,5187448
2010-06-11,225.05453491210938,230.20021895543596,224.2204451219761,227.9759795150806,9912864
2010-06-14,234.9481964111328,236.0132819914017,226.70996955758386,226.70996955758386,9728848
2010-06-15,233.94723510742188,237.8225491684872,232.86934687640192,234.95670190332737,7946312
2010-06-16,236.91574096679688,237.77978090485075,234.57174284623161,235.6752995841308,5720064
2010-06-17,236.52647399902344,238.14759810153328,234.05841546704556,237.4803221259205,5639240
2010-06-18,238.35299682617188,240.8167747556907,231.65034708328957,231.65034708328957,8356232
2010-06-21,239.60191345214844,241.14177148090818,238.7849290430909,239.4821341851815,7164752
2010-06-22,236.71897888183594,239.4778913893399,236.11158203754673,238.67801227708526,4763688
2010-06-23,239.3409423828125,239.9568812975071,232.50569337083937,235.00796218138257,4948088
2010-06-24,241.4754180908203,242.41644251599743,238.08346113069697,240.7653682110541,12316104
2010-06-25,237.625732421875,240.55573979434718,237.05256727358892,240.38892603348427,3345664
2010-06-28,240.3034210205078,240.9878024260486,236.96706166849648,236.96706166849648,3834168
